Stage,Plastochron,Segment,Treatment,Length
S5,P9,Hyp,Zenith Low Light,2.3
S5,P9,Hyp,Zenith Low Light,1.2
S5,P9,Hyp,Zenith Low Light,1.1
S5,P9,Hyp,Zenith Low Light,1.6
S5,P9,Epi,L88 57 Low Light,3
S5,P9,Epi,L88 57 Low Light,2.1
S5,P9,Epi,L88 57 Low Light,2.5
S5,P9,Epi,L88 57 Low Light,3
S5,P9,Epi,L88 57 Low Light,2
S5,P9,Epi,L88 57 Low Light,3.5
S5,P9,Epi,L88 57 Low Light,2
S5,P9,Epi,L88 57 Low Light,2
S5,P9,Epi,L88 57 Low Light,2
S5,P9,Epi,L88 57 Low Light,2
S5,P9,Epi,L88 57 Low Light,2.2
S5,P9,Epi,L88 57 Low Light,1.6
S5,P9,Epi,L88 57 Low Light,2
S5,P9,Epi,L88 57 Low Light,2.4
S5,P9,Epi,L88 57 Low Light,2.8
S5,P9,Epi,L88 57 Low Light,2.3
S5,P9,Epi,L88 57 Low Light,3
S5,P9,Epi,L88 57 Low Light,2.5
S5,P9,Epi,L88 57 Low Light,2
S5,P9,Epi,L88 57 Low Light,2.5
S5,P9,Epi,L88 57 High Light,2.5
S5,P9,Epi,L88 57 High Light,2
S5,P9,Epi,L88 57 High Light,2
S5,P9,Epi,L88 57 High Light,1.7
S5,P9,Epi,L88 57 High Light,2.5
S5,P9,Epi,L88 57 High Light,2.5
S5,P9,Epi,L88 57 High Light,2
S5,P9,Epi,L88 57 High Light,3
S5,P9,Epi,L88 57 High Light,4.1
S5,P9,Epi,L88 57 High Light,2.8
S5,P9,Epi,L88 57 High Light,1.8
S5,P9,Epi,L88 57 High Light,0.4
S5,P9,Epi,L88 57 High Light,2.3
S5,P9,Epi,L88 57 High Light,2.5
S5,P9,Epi,L88 57 High Light,2.2
S5,P9,Epi,L88 57 High Light,2
S5,P9,Epi,L88 57 High Light,2.2
S5,P9,Epi,L88 57 High Light,2.4
S5,P9,Epi,Zenith Low Light,4
S5,P9,Epi,Zenith Low Light,5.2
S5,P9,Epi,Zenith Low Light,4.2
S5,P9,Epi,Zenith Low Light,3.7
S5,P9,Epi,Zenith Low Light,3
S5,P9,Epi,Zenith Low Light,4
S5,P9,Epi,Zenith Low Light,3.5
S5,P9,Epi,Zenith Low Light,3.2
S5,P9,Epi,Zenith Low Light,3.2
S5,P9,Epi,Zenith Low Light,3
S5,P9,Epi,Zenith Low Light,3
S5,P9,Epi,Zenith Low Light,3.9
S5,P9,Epi,Zenith Low Light,4.5
S5,P9,Epi,Zenith Low Light,0.5
S5,P9,Epi,Zenith Low Light,3.1
S5,P9,Epi,Zenith Low Light,3.2
S5,P9,Epi,Zenith Low Light,3.2
S5,P9,Epi,Zenith Low Light,6
S5,P9,IN1,L88 57 Low Light,1.6
S5,P9,IN1,L88 57 Low Light,1.5
S5,P9,IN1,L88 57 Low Light,2.2
S5,P9,IN1,L88 57 Low Light,1.7
S5,P9,IN1,L88 57 Low Light,1.9
S5,P9,IN1,L88 57 Low Light,1.4
S5,P9,IN1,L88 57 Low Light,1.5
S5,P9,IN1,L88 57 Low Light,1.8
S5,P9,IN1,L88 57 Low Light,1.9
S5,P9,IN1,L88 57 Low Light,2.5
S5,P9,IN1,L88 57 Low Light,2.3
S5,P9,IN1,L88 57 Low Light,1.7
S5,P9,IN1,L88 57 Low Light,2
S5,P9,IN1,L88 57 Low Light,2.5
S5,P9,IN1,L88 57 Low Light,2
S5,P9,IN1,L88 57 Low Light,2
S5,P9,IN1,L88 57 Low Light,2.6
S5,P9,IN1,L88 57 Low Light,2
S5,P9,IN1,L88 57 Low Light,1.4
S5,P9,IN1,L88 57 Low Light,1.5
S5,P9,IN1,L88 57 High Light,1
S5,P9,IN1,L88 57 High Light,1.5
S5,P9,IN1,L88 57 High Light,1.7
S5,P9,IN1,L88 57 High Light,1
S5,P9,IN1,L88 57 High Light,1.1
S5,P9,IN1,L88 57 High Light,1.5
S5,P9,IN1,L88 57 High Light,1.3
S5,P9,IN1,L88 57 High Light,1
S5,P9,IN1,L88 57 High Light,2.1
S5,P9,IN1,L88 57 High Light,1.6
S5,P9,IN1,L88 57 High Light,1.7
S5,P9,IN1,L88 57 High Light,2
S5,P9,IN1,L88 57 High Light,1.5
S5,P9,IN1,L88 57 High Light,1.4
S5,P9,IN1,L88 57 High Light,1
S5,P9,IN1,L88 57 High Light,1
S5,P9,IN1,L88 57 High Light,1.5
S5,P9,IN1,L88 57 High Light,1.8
S5,P9,IN1,Zenith Low Light,1.5
S5,P9,IN1,Zenith Low Light,1.1
S5,P9,IN1,Zenith Low Light,1.5
S5,P9,IN1,Zenith Low Light,1.1
S5,P9,IN1,Zenith Low Light,1.1
S5,P9,IN1,Zenith Low Light,1.3
S5,P9,IN1,Zenith Low Light,1
S5,P9,IN1,Zenith Low Light,1.2
S5,P9,IN1,Zenith Low Light,2
S5,P9,IN1,Zenith Low Light,1
S5,P9,IN1,Zenith Low Light,0.4
S5,P9,IN1,Zenith Low Light,0.7
S5,P9,IN1,Zenith Low Light,0.7
S5,P9,IN1,Zenith Low Light,0.5
S5,P9,IN1,Zenith Low Light,0.8
S5,P9,IN1,Zenith Low Light,0.5
S5,P9,IN1,Zenith Low Light,0.6
S5,P9,IN1,Zenith Low Light,0.6
S5,P9,IN2,L88 57 Low Light,1.6
S5,P9,IN2,L88 57 Low Light,2.3
S5,P9,IN2,L88 57 Low Light,2.3
S5,P9,IN2,L88 57 Low Light,1.8
S5,P9,IN2,L88 57 Low Light,2
S5,P9,IN2,L88 57 Low Light,1.6
S5,P9,IN2,L88 57 Low Light,1.7
S5,P9,IN2,L88 57 Low Light,2
S5,P9,IN2,L88 57 Low Light,1.6
S5,P9,IN2,L88 57 Low Light,1.9
S5,P9,IN2,L88 57 Low Light,2.4
S5,P9,IN2,L88 57 Low Light,1.8
S5,P9,IN2,L88 57 Low Light,2.3
S5,P9,IN2,L88 57 Low Light,2
S5,P9,IN2,L88 57 Low Light,2
S5,P9,IN2,L88 57 Low Light,2
S5,P9,IN2,L88 57 Low Light,2
S5,P9,IN2,L88 57 Low Light,2
S5,P9,IN2,L88 57 Low Light,1.5
S5,P9,IN2,L88 57 Low Light,1.5
S5,P9,IN2,L88 57 High Light,1
S5,P9,IN2,L88 57 High Light,1.5
S5,P9,IN2,L88 57 High Light,1.6
S5,P9,IN2,L88 57 High Light,1.1
S5,P9,IN2,L88 57 High Light,1.1
S5,P9,IN2,L88 57 High Light,1.5
S5,P9,IN2,L88 57 High Light,1
S5,P9,IN2,L88 57 High Light,1.1
S5,P9,IN2,L88 57 High Light,1.4
S5,P9,IN2,L88 57 High Light,1.5
S5,P9,IN2,L88 57 High Light,1.5
S5,P9,IN2,L88 57 High Light,1.5
S5,P9,IN2,L88 57 High Light,1.3
S5,P9,IN2,L88 57 High Light,1.1
S5,P9,IN2,L88 57 High Light,1.4
S5,P9,IN2,L88 57 High Light,1
S5,P9,IN2,L88 57 High Light,1.5
S5,P9,IN2,L88 57 High Light,1.6
S5,P9,IN2,Zenith Low Light,1.3
S5,P9,IN2,Zenith Low Light,1
S5,P9,IN2,Zenith Low Light,2.4
S5,P9,IN2,Zenith Low Light,1.2
S5,P9,IN2,Zenith Low Light,1.5
S5,P9,IN2,Zenith Low Light,1.5
S5,P9,IN2,Zenith Low Light,1.1
S5,P9,IN2,Zenith Low Light,1.3
S5,P9,IN2,Zenith Low Light,2
S5,P9,IN2,Zenith Low Light,1
S5,P9,IN2,Zenith Low Light,0.4
S5,P9,IN2,Zenith Low Light,0.5
S5,P9,IN2,Zenith Low Light,0.4
S5,P9,IN2,Zenith Low Light,1
S5,P9,IN2,Zenith Low Light,0.4
S5,P9,IN2,Zenith Low Light,0.5
S5,P9,IN2,Zenith Low Light,1
S5,P9,IN2,Zenith Low Light,0.3
S5,P9,IN3,L88 57 Low Light,2.4
S5,P9,IN3,L88 57 Low Light,3.5
S5,P9,IN3,L88 57 Low Light,3.6
S5,P9,IN3,L88 57 Low Light,3.9
S5,P9,IN3,L88 57 Low Light,2.6
S5,P9,IN3,L88 57 Low Light,2.9
S5,P9,IN3,L88 57 Low Light,3
S5,P9,IN3,L88 57 Low Light,3.2
S5,P9,IN3,L88 57 Low Light,3
S5,P9,IN3,L88 57 Low Light,4
S5,P9,IN3,L88 57 Low Light,3.1
S5,P9,IN3,L88 57 Low Light,3.7
S5,P9,IN3,L88 57 Low Light,3.6
S5,P9,IN3,L88 57 Low Light,3.2
S5,P9,IN3,L88 57 Low Light,3.6
S5,P9,IN3,L88 57 Low Light,4
S5,P9,IN3,L88 57 Low Light,2.8
S5,P9,IN3,L88 57 Low Light,3.2
S5,P9,IN3,L88 57 Low Light,2.8
S5,P9,IN3,L88 57 High Light,2.1
S5,P9,IN3,L88 57 High Light,2.5
S5,P9,IN3,L88 57 High Light,2.6
S5,P9,IN3,L88 57 High Light,2.7
S5,P9,IN3,L88 57 High Light,2.9
S5,P9,IN3,L88 57 High Light,2
S5,P9,IN3,L88 57 High Light,2.4
S5,P9,IN3,L88 57 High Light,2
S5,P9,IN3,L88 57 High Light,1.5
S5,P9,IN3,L88 57 High Light,2.5
S5,P9,IN3,L88 57 High Light,2.5
S5,P9,IN3,L88 57 High Light,2.8
S5,P9,IN3,L88 57 High Light,2
S5,P9,IN3,L88 57 High Light,2.8
S5,P9,IN3,L88 57 High Light,2.1
S5,P9,IN3,L88 57 High Light,2.5
S5,P9,IN3,L88 57 High Light,2.1
S5,P9,IN3,L88 57 High Light,1.7
S5,P9,IN3,Zenith Low Light,1.6
S5,P9,IN3,Zenith Low Light,1.2
S5,P9,IN3,Zenith Low Light,2.2
S5,P9,IN3,Zenith Low Light,2.2
S5,P9,IN3,Zenith Low Light,2
S5,P9,IN3,Zenith Low Light,1.3
S5,P9,IN3,Zenith Low Light,1.6
S5,P9,IN3,Zenith Low Light,2
S5,P9,IN3,Zenith Low Light,2.5
S5,P9,IN3,Zenith Low Light,1.2
S5,P9,IN3,Zenith Low Light,1.1
S5,P9,IN3,Zenith Low Light,0.8
S5,P9,IN3,Zenith Low Light,1
S5,P9,IN3,Zenith Low Light,1.7
S5,P9,IN3,Zenith Low Light,0.8
S5,P9,IN3,Zenith Low Light,1.1
S5,P9,IN3,Zenith Low Light,1.5
S5,P9,IN3,Zenith Low Light,0.4
S5,P9,IN3 ,L88 57 Low Light,3.2
S5,P9,IN4,L88 57 Low Light,2.8
S5,P9,IN4,L88 57 Low Light,4.5
S5,P9,IN4,L88 57 Low Light,4
S5,P9,IN4,L88 57 Low Light,5
S5,P9,IN4,L88 57 Low Light,5.3
S5,P9,IN4,L88 57 Low Light,2.9
S5,P9,IN4,L88 57 Low Light,4.2
S5,P9,IN4,L88 57 Low Light,4
S5,P9,IN4,L88 57 Low Light,4.4
S5,P9,IN4,L88 57 Low Light,4.7
S5,P9,IN4,L88 57 Low Light,6.5
S5,P9,IN4,L88 57 Low Light,4.2
S5,P9,IN4,L88 57 Low Light,4.5
S5,P9,IN4,L88 57 Low Light,5.3
S5,P9,IN4,L88 57 Low Light,4.1
S5,P9,IN4,L88 57 Low Light,5
S5,P9,IN4,L88 57 Low Light,5.1
S5,P9,IN4,L88 57 Low Light,3
S5,P9,IN4,L88 57 Low Light,2.5
S5,P9,IN4,L88 57 Low Light,3.2
S5,P9,IN4,L88 57 High Light,2.3
S5,P9,IN4,L88 57 High Light,2.5
S5,P9,IN4,L88 57 High Light,2.4
S5,P9,IN4,L88 57 High Light,1.8
S5,P9,IN4,L88 57 High Light,3
S5,P9,IN4,L88 57 High Light,2.5
S5,P9,IN4,L88 57 High Light,2
S5,P9,IN4,L88 57 High Light,3.4
S5,P9,IN4,L88 57 High Light,2.1
S5,P9,IN4,L88 57 High Light,2.3
S5,P9,IN4,L88 57 High Light,2.5
S5,P9,IN4,L88 57 High Light,2.4
S5,P9,IN4,L88 57 High Light,2.5
S5,P9,IN4,L88 57 High Light,2.8
S5,P9,IN4,L88 57 High Light,2.4
S5,P9,IN4,L88 57 High Light,3
S5,P9,IN4,L88 57 High Light,2.2
S5,P9,IN4,L88 57 High Light,1.4
S5,P9,IN4,Zenith Low Light,1.5
S5,P9,IN4,Zenith Low Light,1.5
S5,P9,IN4,Zenith Low Light,2.5
S5,P9,IN4,Zenith Low Light,2
S5,P9,IN4,Zenith Low Light,1.8
S5,P9,IN4,Zenith Low Light,1.2
S5,P9,IN4,Zenith Low Light,1.6
S5,P9,IN4,Zenith Low Light,2
S5,P9,IN4,Zenith Low Light,2.1
S5,P9,IN4,Zenith Low Light,2.2
S5,P9,IN4,Zenith Low Light,1.8
S5,P9,IN4,Zenith Low Light,2
S5,P9,IN4,Zenith Low Light,3.2
S5,P9,IN4,Zenith Low Light,3.3
S5,P9,IN4,Zenith Low Light,1.7
S5,P9,IN4,Zenith Low Light,2.9
S5,P9,IN4,Zenith Low Light,2.5
S5,P9,IN4,Zenith Low Light,1
S5,P9,IN5,L88 57 Low Light,2.3
S5,P9,IN5,L88 57 Low Light,6.3
S5,P9,IN5,L88 57 Low Light,3.4
S5,P9,IN5,L88 57 Low Light,7.5
S5,P9,IN5,L88 57 Low Light,8.5
S5,P9,IN5,L88 57 Low Light,3
S5,P9,IN5,L88 57 Low Light,6.1
S5,P9,IN5,L88 57 Low Light,3
S5,P9,IN5,L88 57 Low Light,6.5
S5,P9,IN5,L88 57 Low Light,8
S5,P9,IN5,L88 57 Low Light,9.4
S5,P9,IN5,L88 57 Low Light,7.8
S5,P9,IN5,L88 57 Low Light,7.1
S5,P9,IN5,L88 57 Low Light,8
S5,P9,IN5,L88 57 Low Light,5.5
S5,P9,IN5,L88 57 Low Light,7
S5,P9,IN5,L88 57 Low Light,7.9
S5,P9,IN5,L88 57 Low Light,5.2
S5,P9,IN5,L88 57 Low Light,1.2
S5,P9,IN5,L88 57 Low Light,2.7
S5,P9,IN5,L88 57 High Light,1.9
S5,P9,IN5,L88 57 High Light,1.4
S5,P9,IN5,L88 57 High Light,1.5
S5,P9,IN5,L88 57 High Light,2
S5,P9,IN5,L88 57 High Light,2.6
S5,P9,IN5,L88 57 High Light,2
S5,P9,IN5,L88 57 High Light,1.6
S5,P9,IN5,L88 57 High Light,2.5
S5,P9,IN5,L88 57 High Light,1.6
S5,P9,IN5,L88 57 High Light,2
S5,P9,IN5,L88 57 High Light,1.3
S5,P9,IN5,L88 57 High Light,1.7
S5,P9,IN5,L88 57 High Light,1.3
S5,P9,IN5,L88 57 High Light,2.5
S5,P9,IN5,L88 57 High Light,1.3
S5,P9,IN5,L88 57 High Light,1.7
S5,P9,IN5,L88 57 High Light,1.6
S5,P9,IN5,L88 57 High Light,0.8
S5,P9,IN5,Zenith Low Light,2
S5,P9,IN5,Zenith Low Light,1.2
S5,P9,IN5,Zenith Low Light,3.6
S5,P9,IN5,Zenith Low Light,2.1
S5,P9,IN5,Zenith Low Light,2.5
S5,P9,IN5,Zenith Low Light,1.1
S5,P9,IN5,Zenith Low Light,1.2
S5,P9,IN5,Zenith Low Light,2.6
S5,P9,IN5,Zenith Low Light,2.2
S5,P9,IN5,Zenith Low Light,3.6
S5,P9,IN5,Zenith Low Light,2.9
S5,P9,IN5,Zenith Low Light,2.8
S5,P9,IN5,Zenith Low Light,3.5
S5,P9,IN5,Zenith Low Light,4
S5,P9,IN5,Zenith Low Light,1.9
S5,P9,IN5,Zenith Low Light,3
S5,P9,IN5,Zenith Low Light,2.7
S5,P9,IN5,Zenith Low Light,2.1
S5,P9,IN6,L88 57 Low Light,1.5
S5,P9,IN6,L88 57 Low Light,8.1
S5,P9,IN6,L88 57 Low Light,2.2
S5,P9,IN6,L88 57 Low Light,10.5
S5,P9,IN6,L88 57 Low Light,10
S5,P9,IN6,L88 57 Low Light,1.6
S5,P9,IN6,L88 57 Low Light,4.7
S5,P9,IN6,L88 57 Low Light,1.6
S5,P9,IN6,L88 57 Low Light,7.1
S5,P9,IN6,L88 57 Low Light,9.7
S5,P9,IN6,L88 57 Low Light,11.5
S5,P9,IN6,L88 57 Low Light,8.6
S5,P9,IN6,L88 57 Low Light,9.2
S5,P9,IN6,L88 57 Low Light,10
S5,P9,IN6,L88 57 Low Light,7.1
S5,P9,IN6,L88 57 Low Light,7.7
S5,P9,IN6,L88 57 Low Light,11.1
S5,P9,IN6,L88 57 Low Light,7
S5,P9,IN6,L88 57 Low Light,0.9
S5,P9,IN6,L88 57 Low Light,2
S5,P9,IN6,L88 57 High Light,1
S5,P9,IN6,L88 57 High Light,0.8
S5,P9,IN6,L88 57 High Light,4
S5,P9,IN6,L88 57 High Light,1.1
S5,P9,IN6,L88 57 High Light,1.4
S5,P9,IN6,L88 57 High Light,1
S5,P9,IN6,L88 57 High Light,0.8
S5,P9,IN6,L88 57 High Light,1.1
S5,P9,IN6,L88 57 High Light,0.9
S5,P9,IN6,L88 57 High Light,1
S5,P9,IN6,L88 57 High Light,0.8
S5,P9,IN6,L88 57 High Light,1
S5,P9,IN6,L88 57 High Light,0.8
S5,P9,IN6,L88 57 High Light,1.7
S5,P9,IN6,L88 57 High Light,1
S5,P9,IN6,L88 57 High Light,1
S5,P9,IN6,L88 57 High Light,0.9
S5,P9,IN6,L88 57 High Light,0.5
S5,P9,IN6,Zenith Low Light,2.2
S5,P9,IN6,Zenith Low Light,1.8
S5,P9,IN6,Zenith Low Light,5
S5,P9,IN6,Zenith Low Light,2
S5,P9,IN6,Zenith Low Light,2
S5,P9,IN6,Zenith Low Light,1.5
S5,P9,IN6,Zenith Low Light,1.9
S5,P9,IN6,Zenith Low Light,3
S5,P9,IN6,Zenith Low Light,2.4
S5,P9,IN6,Zenith Low Light,4.1
S5,P9,IN6,Zenith Low Light,4.5
S5,P9,IN6,Zenith Low Light,3.4
S5,P9,IN6,Zenith Low Light,3.3
S5,P9,IN6,Zenith Low Light,4.3
S5,P9,IN6,Zenith Low Light,1
S5,P9,IN6,Zenith Low Light,4.4
S5,P9,IN6,Zenith Low Light,2.9
S5,P9,IN6,Zenith Low Light,4
S5,P9,IN7,L88 57 Low Light,1
S5,P9,IN7,L88 57 Low Light,5.1
S5,P9,IN7,L88 57 Low Light,1
S5,P9,IN7,L88 57 Low Light,8.5
S5,P9,IN7,L88 57 Low Light,4.1
S5,P9,IN7,L88 57 Low Light,0.9
S5,P9,IN7,L88 57 Low Light,1.1
S5,P9,IN7,L88 57 Low Light,1.1
S5,P9,IN7,L88 57 Low Light,2.9
S5,P9,IN7,L88 57 Low Light,5.5
S5,P9,IN7,L88 57 Low Light,7.1
S5,P9,IN7,L88 57 Low Light,6.2
S5,P9,IN7,L88 57 Low Light,5
S5,P9,IN7,L88 57 Low Light,7.8
S5,P9,IN7,L88 57 Low Light,4
S5,P9,IN7,L88 57 Low Light,3.6
S5,P9,IN7,L88 57 Low Light,8
S5,P9,IN7,L88 57 Low Light,6.5
S5,P9,IN7,L88 57 Low Light,0.5
S5,P9,IN7,L88 57 Low Light,1.3
S5,P9,IN7,L88 57 High Light,0.7
S5,P9,IN7,L88 57 High Light,0.6
S5,P9,IN7,L88 57 High Light,0.5
S5,P9,IN7,L88 57 High Light,5
S5,P9,IN7,L88 57 High Light,0.8
S5,P9,IN7,L88 57 High Light,0.7
S5,P9,IN7,L88 57 High Light,0.5
S5,P9,IN7,L88 57 High Light,0.7
S5,P9,IN7,L88 57 High Light,0.5
S5,P9,IN7,L88 57 High Light,0.7
S5,P9,IN7,L88 57 High Light,0.6
S5,P9,IN7,L88 57 High Light,0.7
S5,P9,IN7,L88 57 High Light,0.4
S5,P9,IN7,L88 57 High Light,1.4
S5,P9,IN7,L88 57 High Light,0.6
S5,P9,IN7,L88 57 High Light,0.5
S5,P9,IN7,L88 57 High Light,0.6
S5,P9,IN7,L88 57 High Light,0.4
S5,P9,IN7,Zenith Low Light,2.4
S5,P9,IN7,Zenith Low Light,1.8
S5,P9,IN7,Zenith Low Light,3.8
S5,P9,IN7,Zenith Low Light,1.6
S5,P9,IN7,Zenith Low Light,1.8
S5,P9,IN7,Zenith Low Light,1.6
S5,P9,IN7,Zenith Low Light,2
S5,P9,IN7,Zenith Low Light,2.3
S5,P9,IN7,Zenith Low Light,2.1
S5,P9,IN7,Zenith Low Light,3
S5,P9,IN7,Zenith Low Light,2.6
S5,P9,IN7,Zenith Low Light,2.4
S5,P9,IN7,Zenith Low Light,1.7
S5,P9,IN7,Zenith Low Light,2.7
S5,P9,IN7,Zenith Low Light,1
S5,P9,IN7,Zenith Low Light,2.4
S5,P9,IN7,Zenith Low Light,1.4
S5,P9,IN7,Zenith Low Light,4.9
S5,P9,IN8,L88 57 Low Light,0.5
S5,P9,IN8,L88 57 Low Light,2.2
S5,P9,IN8,L88 57 Low Light,0.4
S5,P9,IN8,L88 57 Low Light,2.5
S5,P9,IN8,L88 57 Low Light,1.4
S5,P9,IN8,L88 57 Low Light,0.5
S5,P9,IN8,L88 57 Low Light,0.7
S5,P9,IN8,L88 57 Low Light,0.5
S5,P9,IN8,L88 57 Low Light,0.9
S5,P9,IN8,L88 57 Low Light,1.4
S5,P9,IN8,L88 57 Low Light,2
S5,P9,IN8,L88 57 Low Light,1.3
S5,P9,IN8,L88 57 Low Light,2
S5,P9,IN8,L88 57 Low Light,2.3
S5,P9,IN8,L88 57 Low Light,1.8
S5,P9,IN8,L88 57 Low Light,1
S5,P9,IN8,L88 57 Low Light,2.5
S5,P9,IN8,L88 57 Low Light,3.6
S5,P9,IN8,L88 57 Low Light,0.3
S5,P9,IN8,L88 57 Low Light,0.5
S5,P9,IN8,L88 57 High Light,0.5
S5,P9,IN8,L88 57 High Light,0.3
S5,P9,IN8,L88 57 High Light,0.3
S5,P9,IN8,L88 57 High Light,0.5
S5,P9,IN8,L88 57 High Light,0.5
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.3
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.3
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.9
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.4
S5,P9,IN8,L88 57 High Light,0.2
S5,P9,IN8,Zenith Low Light,1.1
S5,P9,IN8,Zenith Low Light,0.6
S5,P9,IN8,Zenith Low Light,1.2
S5,P9,IN8,Zenith Low Light,1.5
S5,P9,IN8,Zenith Low Light,1.1
S5,P9,IN8,Zenith Low Light,0.9
S5,P9,IN8,Zenith Low Light,1.1
S5,P9,IN8,Zenith Low Light,1
S5,P9,IN8,Zenith Low Light,1.1
S5,P9,IN8,Zenith Low Light,1
S5,P9,IN8,Zenith Low Light,1.2
S5,P9,IN8,Zenith Low Light,1.2
S5,P9,IN8,Zenith Low Light,0.5
S5,P9,IN8,Zenith Low Light,0.9
S5,P9,IN8,Zenith Low Light,0.4
S5,P9,IN8,Zenith Low Light,0.9
S5,P9,IN8,Zenith Low Light,0.6
S5,P9,IN8,Zenith Low Light,1.6
S5,P9,IN9,L88 57 Low Light,0.3
S5,P9,IN9,L88 57 Low Light,0.5
S5,P9,IN9,L88 57 Low Light,0.2
S5,P9,IN9,L88 57 Low Light,0.5
S5,P9,IN9,L88 57 Low Light,0.2
S5,P9,IN9,L88 57 Low Light,0.4
S5,P9,IN9,L88 57 Low Light,0.3
S5,P9,IN9,L88 57 Low Light,0.1
S5,P9,IN9,L88 57 Low Light,0.4
S5,P9,IN9,L88 57 Low Light,0.4
S5,P9,IN9,L88 57 Low Light,0.3
S5,P9,IN9,L88 57 Low Light,0.5
S5,P9,IN9,L88 57 Low Light,0.5
S5,P9,IN9,L88 57 Low Light,0.5
S5,P9,IN9,L88 57 Low Light,0.5
S5,P9,IN9,L88 57 Low Light,0.2
S5,P9,IN9,L88 57 Low Light,0.5
S5,P9,IN9,L88 57 Low Light,1
S5,P9,IN9,L88 57 Low Light,0.1
S5,P9,IN9,L88 57 Low Light,0.3
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.3
S5,P9,IN9,L88 57 High Light,0.1
S5,P9,IN9,L88 57 High Light,0.1
S5,P9,IN9,L88 57 High Light,0.3
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.3
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.5
S5,P9,IN9,L88 57 High Light,0.1
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,L88 57 High Light,0.4
S5,P9,IN9,L88 57 High Light,0.2
S5,P9,IN9,Zenith Low Light,0.3
S5,P9,IN9,Zenith Low Light,0.3
S5,P9,IN9,Zenith Low Light,0.4
S5,P9,IN9,Zenith Low Light,0.6
S5,P9,IN9,Zenith Low Light,0.5
S5,P9,IN9,Zenith Low Light,0.4
S5,P9,IN9,Zenith Low Light,0.2
